Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8021352313167259,0.6690647482014388,0.5,0.5723076923076923,0.8408396569132602
Random Forest,0.799288256227758,0.6584507042253521,0.5026881720430108,0.5701219512195121,0.8384793741997939
XGBoost,0.797153024911032,0.6570397111913358,0.489247311827957,0.5608628659476117,0.8408995097273835
